Cuisine,Dish,Calories,Why Healthy,Tips,Restaurant/Stall,Location
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,T.G. Fish Porridge,Various hawker centres
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,Beach Road Fish Head Bee Hoon,Whampoa Makan Place
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,Whampoa 87 Fish Soup,Whampoa Drive Block 87
Chinese / Local Singaporean,Yong Tau Foo (Clear Soup),~297 kcal,Customizable - load up on vegetables and tofu. Clear soup base is low in fat.,Choose clear soup over curry/laksa broth. Pick tofu and leafy greens. Avoid fried items.,Hakka Fun HamCha & Yong Tou Fu,Chinatown
Chinese / Local Singaporean,Yong Tau Foo (Clear Soup),~297 kcal,Customizable - load up on vegetables and tofu. Clear soup base is low in fat.,Choose clear soup over curry/laksa broth. Pick tofu and leafy greens. Avoid fried items.,Most hawker centres,Island-wide
Chinese / Local Singaporean,Teochew Porridge with Steamed Fish & Vegetables,~350-400 kcal,Light; easy to digest; can pair with steamed dishes and greens,Choose steamed fish and leafy vegetables as sides. Avoid fried and preserved items.,Teochew porridge stalls,Most hawker centres island-wide
Chinese / Local Singaporean,Thunder Tea Rice (Lei Cha Fan),~350 kcal,Packed with vegetables; tofu; and green tea soup. High fibre; plant-based.,A naturally healthy Hakka dish. Opt for brown rice if available.,Koufu food courts,Various locations
Chinese / Local Singaporean,Thunder Tea Rice (Lei Cha Fan),~350 kcal,Packed with vegetables; tofu; and green tea soup. High fibre; plant-based.,A naturally healthy Hakka dish. Opt for brown rice if available.,Hakka stalls,Chinatown Complex / Old Airport Road
Chinese / Local Singaporean,Steamed Chicken Rice (no skin),~450 kcal (skin removed),Choose steamed over roasted. Remove skin to cut fat significantly.,Ask for less rice and extra cucumber. Choose breast meat.,Tian Tian Chicken Rice,Maxwell Food Centre
Chinese / Local Singaporean,Steamed Chicken Rice (no skin),~450 kcal (skin removed),Choose steamed over roasted. Remove skin to cut fat significantly.,Ask for less rice and extra cucumber. Choose breast meat.,Boon Tong Kee,Multiple outlets
