recipe_name,cuisine,meal_type,ingredients,steps,prep_time,cook_time,calories,protein_g,carbs_g,fat_g,fibre_g,halal
"Healthier Hainanese Chicken Rice","Chinese","Lunch","2 boneless skinless chicken breasts (300g); 1 cup brown rice; 3 slices ginger; 2 stalks spring onion; 2 pandan leaves; 1 tbsp sesame oil; 2 cloves garlic; 500ml low-sodium chicken stock; cucumber slices; coriander","Poach chicken in stock with ginger and pandan for 20 min. Toast brown rice with garlic then cook in broth. Slice chicken and serve over rice with cucumber. Make ginger-scallion sauce.","15 min","20 min","390 kcal","35","48","8","3.5","No"
"Kway Teow Fish Soup","Chinese","Lunch","200g flat rice noodles; 250g fresh batang fillet sliced; 1L water or fish stock; 1 tomato; 1 cup kangkong; 2 slices ginger; 1 tbsp fried shallots; white pepper; 1 tsp light soy; 1 tbsp evaporated milk (optional)","Boil water with ginger and tomato 5 min. Add noodles 2 min. Slide in fish slices 2-3 min. Add kangkong last 30 sec. Season with soy and white pepper. Garnish with fried shallots.","10 min","10 min","320 kcal","28","38","6","2","No"
"Thunder Tea Rice (Lei Cha Fan)","Hakka","Lunch","1.5 cups cooked brown rice; 1 cup kangkong; 1 cup chye sim; 1/2 cup long beans; 1/4 cup dried shrimp; 2 tbsp peanuts; 1 block firm tofu; tea paste (50g green tea leaves 20g basil 10g mint 2 tbsp sesame seeds); 500ml hot water","Pound tea paste with mortar. Blanch vegetables 1 min. Stir-fry long beans 2 min. Dry-fry tofu until golden. Assemble rice with toppings. Pour warm tea broth over.","20 min","10 min","280 kcal","12","42","5","6","No"
"Teochew-style Sliced Fish Soup","Chinese","Lunch","200g fresh batang or garoupa fillet sliced thin; 100g bee hoon; 1L water; 2 slices ginger; 1 tomato wedges; 1 cup napa cabbage; 2 stalks Chinese celery; 1 tsp sesame oil; white pepper; fried garlic","Soak bee hoon 5 min. Boil water with ginger and tomato. Add cabbage 2 min. Slide in fish 2 min. Season with sesame oil and pepper. Serve over bee hoon with celery and garlic.","10 min","10 min","290 kcal","30","35","5","1.5","Yes"
"Wholemeal Chapati with Lentil Dhal","Indian","Breakfast","1 cup wholemeal atta flour; 1/2 cup warm water; pinch salt; 1/2 cup red lentils; 2 cups water; 1 tomato; 1/2 onion; 1 tsp cumin seeds; 1/2 tsp turmeric; 1 clove garlic; coriander; 1 tsp olive oil","Knead chapati dough and rest 10 min. Boil lentils with turmeric 12 min. Temper cumin in oil and add onion garlic tomato. Mix into lentils. Roll and dry-roast chapati. Serve together.","15 min","15 min","260 kcal","14","38","6","5","Yes"
"Healthy Yong Tau Foo (Soup Base)","Chinese","Lunch","6 pieces fresh veg (bitter gourd ladies finger eggplant chilli); 100g firm tofu; 2 pieces tau kee; 1 bunch kangkong; 100g wholegrain bee hoon; 1L ikan bilis stock; fish paste (100g minced fish 1 tsp cornflour pepper); soy sauce and chilli","Stuff fish paste into vegetables. Boil ikan bilis stock. Add stuffed veg and tofu 5 min. Add greens last minute. Cook bee hoon separately. Serve with light soy and chilli.","10 min","10 min","300 kcal","18","32","8","3","Yes"
"Mee Soto Ayam (Turmeric Chicken Soup)","Malay","Lunch","200g skinless chicken thigh (bone-in); 100g bee hoon; 1L water; 1 stalk lemongrass; 1/2 tsp turmeric; 2 shallots; 1 clove garlic; bean sprouts; fried shallots; Chinese celery; lime; 1 tsp canola oil","Saute shallots and garlic in canola oil. Add water lemongrass turmeric and boil. Simmer chicken 20 min then shred. Cook bee hoon in broth 2 min. Assemble with bean sprouts. Garnish with fried shallots celery and lime.","10 min","25 min","350 kcal","22","42","7","2","Yes"
"Prawn Soup Bee Hoon","Chinese","Lunch","200g fresh prawns (shell-on for stock); 100g bee hoon; 1L water; 2 cloves garlic; 1 tbsp dried shrimp; kangkong; bean sprouts; white pepper; 1 tsp canola oil","Fry prawn shells and dried shrimp in oil until fragrant. Add water and simmer 10 min to make stock. Strain broth. Cook bee hoon 2 min. Poach fresh prawns in broth 3 min. Serve with kangkong and bean sprouts.","10 min","15 min","280 kcal","26","30","4","1","No"
"Ban Mian Soup with Egg","Chinese","Lunch","200g ban mian noodles (fresh); 1L ikan bilis stock; 1 egg per bowl; 100g minced pork (lean); 1 cup sayur manis (sweet leaf); 2 slices ginger; light soy sauce; fried ikan bilis topping","Boil ikan bilis stock with ginger. Add ban mian noodles cook 3-4 min. Push aside and crack egg in broth to poach. Add sayur manis leaves last minute. Season with light soy. Top with fried ikan bilis.","10 min","10 min","380 kcal","20","48","9","2","No"
"Wanton Noodle Soup (Healthier)","Chinese","Lunch","200g wanton noodles; 8 wanton skins; 100g lean pork mince; 1 tsp sesame oil; 1L chicken stock; chye sim; light soy; white pepper; dash of oyster sauce","Mix lean pork with sesame oil and pepper to make wanton filling. Wrap in wanton skins. Boil chicken stock. Cook noodles 1 min. Poach wantons 3 min. Add chye sim. Season broth with light soy and oyster sauce.","15 min","10 min","350 kcal","18","42","8","1.5","No"
"Soya Sauce Chicken Brown Rice","Chinese","Lunch","2 chicken leg quarters (skin removed); 1 cup brown rice; 100ml dark soy sauce; 50ml light soy; 2 tbsp rock sugar; 1 star anise; 1 cinnamon stick; 3 slices ginger; 500ml water; hard-boiled egg; cucumber","Simmer soy sauces with sugar spices and water 5 min. Add skinless chicken pieces and braise 25 min on low. Cook brown rice separately. Slice chicken and serve over rice with braising sauce. Add egg and cucumber.","5 min","30 min","400 kcal","28","50","10","3","No"
"Healthier Cai Fan Combo","Chinese","Lunch","1 steamed fish or tofu; 2 portions leafy veg (chye sim + long beans); less white rice or brown rice if available; skip gravy","Choose steamed egg or tofu over deep-fried meat. Pick dark leafy veg over starchy items. Ask for less rice or swap to brown. Say no to gravy or curry on top. Pair with clear soup if available.","0 min","0 min","420 kcal","25","45","12","4","Yes"
"Ipoh Hor Fun with Chicken","Chinese","Lunch","200g fresh hor fun (flat rice noodles); 150g chicken breast (shredded); 800ml chicken stock; 1 cup bean sprouts; spring onion; light soy sauce; white pepper; sesame oil dash","Poach chicken breast in stock 15 min. Shred chicken. Blanch hor fun in hot water 30 sec. Blanch bean sprouts. Assemble in bowl with broth. Top with chicken and spring onion. Season with soy pepper sesame oil.","5 min","20 min","380 kcal","18","48","8","1","No"
"Prawn Noodle Soup","Chinese","Lunch","300g fresh prawns (shell-on); 100g bee hoon + 100g yellow noodles; 1L water; 2 cloves garlic; rock sugar pinch; kangkong; bean sprouts; sambal on side; pork ribs (100g optional)","Fry prawn heads and shells until red and fragrant. Add water and boil 15 min then strain. Add rock sugar for sweetness. Cook noodles separately. Poach fresh prawns 3 min. Serve with kangkong bean sprouts and sambal on side.","15 min","20 min","380 kcal","24","40","8","1.5","No"
"Healthier Chicken Shawarma Wrap","Middle Eastern","Lunch","2 chicken breasts sliced thin; 2 wholemeal tortillas; 1 cup mixed salad; 1 tomato sliced; 1/2 cucumber sliced; Greek yoghurt (3 tbsp); 1 tsp cumin; 1 tsp paprika; 1/2 tsp turmeric; lemon juice; garlic","Marinate chicken with cumin paprika turmeric garlic and lemon 10 min. Grill or pan-fry chicken with minimal oil 5-6 min. Warm wholemeal tortillas. Spread yoghurt sauce. Layer chicken salad tomato cucumber. Roll up tightly.","15 min","10 min","380 kcal","32","35","10","4","Yes"
"Healthier Claypot-style Rice","Chinese","Dinner","1.5 cups brown rice; 200g chicken thigh (skinless); 2 tbsp dark soy; 1 tbsp oyster sauce; 1 tsp sesame oil; 1 cup kai lan (Chinese broccoli); 3 slices ginger; spring onion","Season chicken with dark soy oyster sauce and ginger. Cook brown rice in rice cooker. 5 min before done lay chicken on rice to steam. Rest 5 min. Blanch kai lan. Serve topped with spring onion and dash of sesame oil.","10 min","25 min","400 kcal","26","50","10","4","No"
"Grilled Chicken Satay (Healthier)","Malay","Snack","300g chicken breast cut into strips; 10 bamboo skewers; marinade: 1 tbsp turmeric 1 tsp cumin 1 tbsp lemongrass paste 1 tsp honey 1 tbsp light soy; cucumber-onion salad; reduced peanut dip: 2 tbsp peanut butter 1 tbsp water 1 tsp lime juice","Thread chicken onto soaked skewers. Marinate 15 min. Grill or pan-fry 3-4 min each side. Make salad with cucumber onion and vinegar dressing. Thin peanut butter with water and lime for dipping. Serve 5 sticks per person with salad.","20 min","10 min","350 kcal","28","15","18","2","Yes"
"Fresh Popiah","Chinese","Snack","8 fresh popiah skins; 300g jicama/turnip (shredded); 100g carrots (shredded); 100g bean sprouts; 2 eggs (scrambled); 50g dried shrimp; lettuce leaves; 2 cloves garlic; sweet sauce; chilli sauce; crushed peanuts","Stir-fry garlic then add jicama and carrots with splash of water. Braise 15 min until soft. Scramble eggs separately. Toast dried shrimp. Lay popiah skin flat add lettuce then turnip filling egg peanuts. Fold sides and roll tightly. Slice in half.","30 min","20 min","188 kcal","8","28","4","5","Yes"
"Steamed Radish Cake (lighter)","Chinese","Breakfast","500g white radish (grated); 150g rice flour; 50g tapioca starch; 400ml water; 1 tsp salt; 2 tbsp dried shrimp; spring onion; 1 tbsp oil for pan (less than traditional)","Grate radish and simmer in water 10 min. Mix rice flour and tapioca starch with 200ml water to form batter. Combine with cooked radish. Pour into oiled tray and steam 30 min. Cool and slice. Pan-fry lightly with egg and chai poh.","20 min","35 min","250 kcal","5","35","8","1","No"
"Fresh Fruit and Veg Rojak","Malay","Snack","1 cup pineapple chunks; 1 cup cucumber; 1 cup jicama; 1 green mango (sliced); bean sprouts; tau pok (1 piece toasted); rojak sauce: 2 tbsp hae ko + 1 tbsp lime juice + 1 tsp sugar + chilli padi; crushed peanuts","Prepare all fruits and vegetables into bite-sized pieces. Toast tau pok lightly (skip you tiao). Mix rojak sauce separately. Toss everything together. Top with crushed peanuts. Serve immediately.","15 min","5 min","280 kcal","6","40","8","6","Yes"
"Lighter Chicken Briyani","Indian","Lunch","1 cup basmati rice; 200g chicken breast; 2 tbsp yoghurt; 1 tsp garam masala; 1/2 tsp turmeric; 1 bay leaf; 2 cardamom pods; 1 cinnamon stick; 1 onion (sliced); 1 tomato; saffron strands; fresh mint; raita (yoghurt + cucumber)","Marinate chicken in yoghurt and spices 10 min. Saute onion until golden. Add chicken and cook 5 min. Add rice and water (2:1 ratio) with whole spices. Cook on low 20 min covered. Rest 5 min. Serve with raita and fresh mint.","15 min","25 min","450 kcal","35","45","14","2","Yes"
"Healthier Mee Siam","Malay","Lunch","200g bee hoon; sauce: 2 tbsp chilli paste + 2 tbsp tamarind juice + 1 tbsp sugar + 200ml water; bean sprouts; hard-boiled egg; tau pok sliced; lime; chives; dried shrimp","Fry chilli paste with dried shrimp until fragrant. Add tamarind juice sugar and water to form gravy. Soak bee hoon in hot water 5 min drain. Toss bee hoon in gravy until coated. Top with bean sprouts sliced tau pok egg chives. Squeeze lime over.","15 min","10 min","400 kcal","15","52","10","2.5","Yes"
"Lean Pork Bak Kut Teh","Chinese","Dinner","300g lean pork loin (sliced); 1L water; 1 BKT spice packet (white pepper + garlic + star anise + cloves); 4 cloves garlic; 1 tbsp light soy; 1 tbsp dark soy; lettuce leaves; mushrooms","Boil water with BKT spice packet and garlic 10 min. Add lean pork slices and simmer 30 min. Add mushrooms last 5 min. Season with soy sauces. Serve with lettuce leaves on side instead of you tiao. Pair with brown rice.","10 min","35 min","320 kcal","30","20","10","1","No"
"Healthier Breakfast Toast","Western","Breakfast","4 slices wholemeal bread; 2 tbsp natural peanut butter (no sugar); 1/2 banana (sliced); 2 soft-boiled eggs; teh-o-kosong (black tea no sugar)","Toast wholemeal bread until crispy. Spread thin layer of peanut butter. Add banana slices. Soft-boil eggs 6.5 min. Serve with teh-o-kosong. Total set is under 250 kcal.","5 min","7 min","240 kcal","10","28","12","4","Yes"
"Steamed Ginger Chicken with Achar","Chinese","Lunch","2 chicken drumsticks (skinless); 1 cup brown rice; 3 slices ginger; 1 stalk spring onion; achar: 1 cup cucumber + 1 carrot + 2 tbsp rice vinegar + 1 tsp sugar + pinch salt + sesame seeds","Rub chicken with ginger and salt. Steam over boiling water 20-25 min until cooked through. Cook brown rice. Make achar by pickling cucumber and carrot in vinegar/sugar/salt mix 10 min. Slice chicken and serve over rice with achar on side.","10 min","25 min","380 kcal","32","45","8","3.5","Yes"
"Healthier Char Siew Rice","Chinese","Lunch","300g pork tenderloin; marinade: 2 tbsp hoisin sauce + 1 tbsp honey + 1 tbsp light soy + 1 tsp five-spice; 1 cup brown rice; 1 cup choy sum; sesame seeds","Marinate pork 10 min (or overnight in fridge). Roast at 200C for 20 min basting halfway. Rest 5 min then slice. Cook brown rice. Blanch choy sum. Assemble with sesame seeds on top.","15 min","20 min","400 kcal","30","48","10","3","No"
"Fishball Noodle Soup","Chinese","Lunch","200g mee pok or mee kia; 8-10 fishballs; 100g minced pork (lean); 800ml pork or ikan bilis stock; chye sim; fried shallots; light soy sauce; white pepper","Boil stock. Cook noodles 1-2 min and drain. Add fishballs and minced pork to broth 3 min. Add chye sim last 30 sec. Place noodles in bowl and ladle soup over. Top with fried shallots and dash of soy.","5 min","10 min","310 kcal","20","38","6","1","No"
"Fish Soup Bee Hoon","Chinese","Lunch","150g bee hoon; 200g red garoupa or threadfin fillet sliced; 800ml fish or ikan bilis stock; 1 tomato; 1 cup napa cabbage; ginger slices; Chinese celery; white pepper; fried garlic","Boil stock with ginger and tomato 5 min. Add cabbage 2 min. Gently add fish slices 2 min. Soak bee hoon separately and drain. Assemble in bowl with stock and toppings. Garnish with celery and fried garlic. Season with white pepper.","5 min","10 min","280 kcal","24","30","4","3","Yes"
"Nasi Ulam (Malay Herb Rice)","Malay","Lunch","1.5 cups cooked jasmine rice (cooled); 1 cup mixed herbs: daun kesum + torch ginger bud + turmeric leaf + lemongrass + kaffir lime leaf (all finely sliced); 2 tbsp kerisik (toasted coconut); 1 tbsp dried shrimp (toasted); salt to taste","Cook rice and cool completely. Finely shred all herbs (julienne). Toast coconut flakes until golden (kerisik). Toast dried shrimp. Mix everything into rice gently. Season with salt. Serve at room temperature. Pairs well with grilled fish.","20 min","5 min","320 kcal","10","48","5","4","Yes"
"Lighter Hokkien Mee","Chinese","Dinner","150g yellow noodles; 100g bee hoon; 200g prawns (peeled); 100g squid (sliced); 1 egg; 200ml prawn stock; 2 tbsp canola oil; bean sprouts; chives; sambal on side; lime","Make quick prawn stock from shells. Heat wok with canola oil. Fry noodles 1 min. Add stock and cover 3 min. Push aside crack egg and stir. Add prawns squid 2 min. Add bean sprouts chives and toss. Serve with sambal and lime.","10 min","10 min","380 kcal","22","42","12","1.5","No"
"Steamed Egg with Oysters","Chinese","Dinner","4 eggs; 100g fresh oysters (cleaned); 200ml water or dashi stock; 1 tsp sesame oil; 1 tsp light soy; spring onion; white pepper; chilli sauce on side","Beat eggs with stock or water sesame oil and soy. Pour into heatproof dish. Place oysters on top. Cover with foil. Steam 10-12 min until just set. Garnish with spring onion and white pepper. Serve with chilli sauce.","5 min","12 min","320 kcal","22","18","14","2","No"
"Grilled Chicken with Smashed Potato","Western","Dinner","2 chicken breasts; 2 medium potatoes; 1 cup mixed salad greens; 1 tomato; olive oil 1 tbsp; herbs: rosemary thyme; salt pepper; lemon wedge; 2 tbsp milk for mash","Season chicken with herbs salt pepper olive oil. Grill or pan-sear 6 min per side. Boil potatoes until soft and mash with milk and pinch salt. Toss salad with lemon. Serve together.","10 min","15 min","420 kcal","38","35","12","3","Yes"
"DIY Green Tea with Aloe","Japanese","Drink","1 green tea bag; 300ml hot water; ice; 50g aloe vera cubes (from can - rinse to remove syrup); optional: 1 tsp honey","Brew green tea 3 min. Remove bag. Let cool. Pour over ice. Rinse aloe vera cubes under water to remove syrup. Add to drink. Add 1 tsp honey if needed.","5 min","3 min","80 kcal","0","18","0","1","Yes"
"Kopi-O Kosong","Local","Drink","2 tbsp local roasted coffee powder (Nanyang style); hot water; kopi sock filter (or pour-over); no milk no sugar","Boil water. Put coffee into sock or filter. Pour water through twice for strong brew. Serve black.","2 min","3 min","10 kcal","0","0","0","0","Yes"
"DIY Milo Kosong","Local","Drink","2 tbsp Milo powder; 250ml hot water or warm low-fat milk; no sugar added","Mix Milo powder with hot water or low-fat milk. Stir well. Serve hot or iced. The natural malt gives enough sweetness without added sugar.","2 min","2 min","90 kcal","4","14","2","1","Yes"
"Teh-C Kosong","Local","Drink","1 tea bag or tea dust (local brand); 200ml hot water; 2 tbsp evaporated milk; no sugar","Brew tea strong in hot water 3 min. Add evaporated milk. Stir well. Serve hot or pour over ice for iced version.","2 min","3 min","60 kcal","2","6","2","0","Yes"
"Fresh Fruit with Sago","Local","Dessert","100g sago pearls; 1 cup mixed fruits (mango watermelon honeydew); 100ml low-fat milk; 1 tsp honey; ice; mint leaves","Boil sago in water until translucent (8-10 min). Rinse under cold water. Cut fruits into cubes. Assemble in bowl with sago and ice. Drizzle low-fat milk and honey. Garnish with mint.","10 min","10 min","150 kcal","2","34","1","3","Yes"
"Grilled Banana with PB","Local","Dessert","2 ripe bananas (halved lengthwise); 1 tbsp natural peanut butter; 1 tsp honey; pinch of cinnamon; sesame seeds","Halve bananas lengthwise. Grill or pan-sear 2 min each side until caramelised. Drizzle with peanut butter and honey. Sprinkle cinnamon and sesame seeds.","2 min","5 min","150 kcal","4","22","6","3","Yes"
"Steamed Rice Cakes (Chwee Kueh)","Chinese","Breakfast","1 cup rice flour; 1/2 cup tapioca flour; 2 cups water; pinch salt; preserved radish (chai poh) 3 tbsp; 2 cloves garlic; 1 tbsp canola oil; chilli sauce","Mix rice flour tapioca flour water and salt until smooth. Pour into small oiled moulds. Steam 15-20 min. Fry chai poh with garlic in minimal oil. Top each kueh with small amount of chai poh. Serve with chilli.","15 min","20 min","180 kcal","3","35","4","0.5","Yes"
"Grilled Fish + Mini Otah","Malay","Dinner","200g fish fillet (ikan tenggiri/mackerel); 3 pieces store-bought otah; banana leaves; marinade: 1 tsp turmeric + 1 tbsp lemon juice + pinch salt; steamed rice","Marinate fish fillet with turmeric lemon and salt. Wrap in banana leaf or just grill on pan 5-6 min per side. Grill otah in banana leaf wraps 5 min. Serve with steamed rice and cucumber slices.","10 min","12 min","280 kcal","26","12","12","1","Yes"
"Healthier Nasi Padang Combo","Malay","Lunch","At the stall: choose grilled or panggang fish over fried; pick sayur lodeh (veg curry) or stir-fried long beans; 1 sambal egg; ask for less rice; skip bergedil (fried potato)","Point to grilled fish (ikan panggang) and say less rice. Choose 1 veg curry + 1 stir-fried veg. Skip fried items like bergedil tahu goreng. Sambal on side. Drink plain water.","0 min","0 min","500 kcal","30","50","16","3","Yes"
"Black Pepper Crab (lighter ver)","Chinese","Dinner","1 whole mud crab (600g cleaned); 2 tbsp crushed black pepper; 3 cloves garlic; 30g butter (reduced from typical 60g); 1 tbsp oyster sauce; 1 tbsp dark soy; spring onion; serve with brown rice instead of mantou","Crack crab into pieces. Heat butter in wok and fry garlic black pepper 1 min. Add crab pieces stir-fry 5 min. Add oyster sauce dark soy and splash of water. Cover and cook 8 min. Garnish spring onion. Serve with brown rice.","10 min","15 min","480 kcal","35","20","22","1","Yes"
"Lean Pork Kway Teow Soup","Chinese","Lunch","200g lean pork loin (sliced thin); 200g kway teow; 800ml pork stock; 1 hard-boiled egg; tau kwa (firm tofu); chye sim; garlic; five-spice pinch; dark soy (dash)","Boil pork stock with garlic and five-spice. Add lean pork slices 3 min. Add tau kwa. Cook kway teow separately. Assemble in bowl with broth. Add halved egg and chye sim. Season with dark soy.","5 min","10 min","350 kcal","28","35","10","1","No"
"Mee Siam (lighter)","Malay","Lunch","200g bee hoon (soaked); sauce: 3 tbsp rempah (spice paste) + 2 tbsp tamarind juice + 1 tbsp sugar + 100ml water; toppings: hard-boiled egg + bean sprouts + tau pok slices + chives + lime; dried shrimp 1 tbsp","Fry rempah paste with dried shrimp until fragrant. Add tamarind juice sugar and water. Toss drained bee hoon in sauce. Serve topped with sliced tau pok egg bean sprouts chives. Squeeze lime.","15 min","10 min","370 kcal","14","50","8","2","Yes"
