meal,healthier_alternative,why_healthier,calories,protein_g,carbs_g,fat_g,fibre_g,halal,stall_1_name,stall_1_address,stall_2_name,stall_2_address
"Roasted Chicken Rice","Steamed Chicken Breast on Brown Rice","Steaming removes all added oil and skinless breast saves around 120 kcal. Brown rice adds 3.5g of fibre, making it a more nutritious and filling choice.","390 kcal","35","48","8","3.5","No","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184"
"Char Kway Teow","Kway Teow Soup with Fish Slices and Vegetables","Soup-based preparation eliminates lard and heavy dark sauces. Fish provides omega-3 fatty acids and the meal has almost 60% fewer calories overall.","320 kcal","28","38","6","2","No","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, 163 Bukit Merah Central, Singapore 150163","Blanco Court Fish Soup","243 Simei Street 5, Singapore 520243"
"Nasi Lemak with Fried Chicken Wing","Thunder Tea Rice (Lei Cha Fan)","A plant-based meal with 6 or more types of vegetables on a brown rice base. The tea paste is full of antioxidants, making it highly nutritious and very low in fat.","280 kcal","12","42","5","6","No","Hakka Leipopo Lei Cha","Lau Pa Sat, 18 Raffles Quay, Singapore 048582","Thunder Tea Rice stall","Anchorvale Village Hawker Centre, 308 Anchorvale Road, Singapore 540308"
"Curry Laksa","Sliced Fish Soup with Bee Hoon","Clear broth replaces coconut milk which cuts around 30g of fat. Fish provides omega-3 and bee hoon is a lighter noodle option, making this a much leaner meal.","290 kcal","30","35","5","1.5","No","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, 163 Bukit Merah Central, Singapore 150163","T.G. Fish Porridge and Soup","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111"
"Roti Prata (2 pieces) with Curry","Chapati with Dhal and Vegetables","Chapati uses no lard or ghee. Dhal provides plant protein and fibre, making it a healthier and more balanced choice.","260 kcal","14","38","6","5","Yes","Springleaf Prata Place","1 Thong Soon Avenue, Singapore 787431","Mr and Mrs Mohgan's Super Crispy Prata","300 Joo Chiat Road, Singapore 427551"
"Yong Tau Foo (Fried with Laksa gravy)","Yong Tau Foo (Soup with fresh picks)","Clear soup cuts over 200 kcal compared to laksa gravy. Choosing fresh ingredients over processed ones and adding tofu provides plant protein without the excess fat.","300 kcal","18","32","8","3","Yes","Gem Fresh Yong Tau Foo","Bugis Cube, 470 North Bridge Road, Singapore 188735","Orchard Yong Tau Foo","Far East Plaza, 14 Scotts Road, Singapore 228213"
"Indian Mee Goreng","Mee Soto (Chicken Noodle Soup)","Soup-based with a light turmeric broth that has anti-inflammatory benefits. Shredded chicken is lean and you can ask for bee hoon instead of yellow noodles to cut even more calories.","350 kcal","22","42","7","2","Yes","Inspirasi stall (Mee Soto Ayam)","Adam Road Food Centre, 2 Adam Road, Singapore 289876","Haji M. Abdul Rajak","Haig Road Market and Food Centre, 14 Haig Road, Singapore 430014"
"Hokkien Mee","Prawn Soup Bee Hoon","Clear prawn broth replaces heavy lard-fried noodles. Fresh prawns provide lean protein and the overall dish has much lower sodium content.","280 kcal","26","30","4","1","No","Beach Road Prawn Mee","370 East Coast Road, Singapore 428981","Blk 84 Marine Parade Prawn Mee","84 Marine Parade Central, Singapore 440084"
"Bak Chor Mee (Dry)","Ban Mian Soup (Fish and Egg)","Soup base means no vinegar or lard dressing. Hand-pulled noodles have no alkaline and egg adds protein without the need for deep-frying.","380 kcal","20","48","9","2","No","Grandma Ban Mee","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111","L32 Handmade Noodles","1 Geylang Lorong 32, Singapore 398261"
"Wanton Mee (Dry with Char Siew)","Wanton Noodle Soup (Lean)","Soup version eliminates lard and oil dressing. Lean char siew has less saturated fat while still delivering the classic wanton flavour.","350 kcal","18","42","8","1.5","No","Kok Kee Wanton Mee","Lavender Food Square, 380 Jalan Besar, Singapore 209000","Eng's Wantan Noodle","287 Tanjong Katong Road, Singapore 437070"
