meal,healthier_alternative,calories_saved,calories_estimate,why_healthier,protein_g,carbs_g,fat_g,fibre_g,nutrition_analysis,meal_recommendation,halal,stall_1_name,stall_1_address,stall_2_name,stall_2_address
"Roasted Chicken Rice","Steamed Chicken Breast on Brown Rice","217 kcal","390 kcal","Steaming removes all added oil and skinless breast saves around 120 kcal. Brown rice adds 3.5g of fibre, making it a more nutritious and filling choice.","35","48","8","3.5","Protein: 35g, Carbohydrates: 48g, Fat: 8g, Fibre: 3.5g","Best for lunch. Pair it with a clear soup for added fullness without extra calories.","No","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184"
"Char Kway Teow","Kway Teow Soup with Fish Slices and Vegetables","420 kcal","320 kcal","Soup-based preparation eliminates lard and heavy dark sauces. Fish provides omega-3 fatty acids and the meal has almost 60% fewer calories overall.","28","38","6","2","Protein: 28g, Carbohydrates: 38g, Fat: 6g, Fibre: 2g","Great for dinner. Light and hydrating, making it easy on the stomach for evening meals.","No","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, 163 Bukit Merah Central, Singapore 150163","Blanco Court Fish Soup","243 Simei Street 5, Singapore 520243"
"Nasi Lemak with Fried Chicken Wing","Thunder Tea Rice (Lei Cha Fan)","360 kcal","280 kcal","A plant-based meal with 6 or more types of vegetables on a brown rice base. The tea paste is full of antioxidants, making it highly nutritious and very low in fat.","12","42","5","6","Protein: 12g, Carbohydrates: 42g, Fat: 5g, Fibre: 6g","Ideal for lunch. Very filling due to high fibre content, making it great for weight management.","No","Hakka Leipopo Lei Cha","Lau Pa Sat, 18 Raffles Quay, Singapore 048582","Thunder Tea Rice stall","Anchorvale Village Hawker Centre, 308 Anchorvale Road, Singapore 540308"
"Curry Laksa","Sliced Fish Soup with Bee Hoon","390 kcal","290 kcal","Clear broth replaces coconut milk which cuts around 30g of fat. Fish provides omega-3 and bee hoon is a lighter noodle option, making this a much leaner meal.","30","35","5","1.5","Protein: 30g, Carbohydrates: 35g, Fat: 5g, Fibre: 1.5g","Good for any meal, especially lunch. Hydrating and light on the stomach. Pair with water for best results.","No","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, 163 Bukit Merah Central, Singapore 150163","T.G. Fish Porridge and Soup","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111"
"Roti Prata (2 pieces) with Curry","Chapati with Dhal and Vegetables","260 kcal","260 kcal","Chapati uses no lard or ghee. Dhal provides plant protein and fibre, making it a healthier and more balanced choice.","14","38","6","5","Protein: 14g, Carbohydrates: 38g, Fat: 6g, Fibre: 5g","Best for breakfast or lunch. Pair it with water or unsweetened tea for a healthier meal.","Yes","Springleaf Prata Place","1 Thong Soon Avenue, Singapore 787431","Mr and Mrs Mohgan's Super Crispy Prata","300 Joo Chiat Road, Singapore 427551"
"Yong Tau Foo (Fried with Laksa gravy)","Yong Tau Foo (Soup with fresh picks)","250 kcal","300 kcal","Clear soup cuts over 200 kcal compared to laksa gravy. Choosing fresh ingredients over processed ones and adding tofu provides plant protein without the excess fat.","18","32","8","3","Protein: 18g, Carbohydrates: 32g, Fat: 8g, Fibre: 3g","Great for lunch or dinner. Choose leafy greens and tofu items for the best nutritional results.","No","Gem Fresh Yong Tau Foo","Bugis Cube, 470 North Bridge Road, Singapore 188735","Orchard Yong Tau Foo","Far East Plaza, 14 Scotts Road, Singapore 228213"
"Indian Mee Goreng","Mee Soto (Chicken Noodle Soup)","310 kcal","350 kcal","Soup-based with a light turmeric broth that has anti-inflammatory benefits. Shredded chicken is lean and you can ask for bee hoon instead of yellow noodles to cut even more calories.","22","42","7","2","Protein: 22g, Carbohydrates: 42g, Fat: 7g, Fibre: 2g","Good for lunch. Turmeric aids digestion. Pair with a squeeze of lime for extra vitamin C.","Yes","Inspirasi stall (Mee Soto Ayam)","Adam Road Food Centre, 2 Adam Road, Singapore 289876","Haji M. Abdul Rajak","Haig Road Market and Food Centre, 14 Haig Road, Singapore 430014"
"Hokkien Mee","Prawn Soup Bee Hoon","242 kcal","280 kcal","Clear prawn broth replaces heavy lard-fried noodles. Fresh prawns provide lean protein and the overall dish has much lower sodium content.","26","30","4","1","Protein: 26g, Carbohydrates: 30g, Fat: 4g, Fibre: 1g","Best for lunch or early dinner. Light yet satisfying, making it a good post-workout meal option.","No","Beach Road Prawn Mee","370 East Coast Road, Singapore 428981","Blk 84 Marine Parade Prawn Mee","84 Marine Parade Central, Singapore 440084"
"Bak Chor Mee (Dry)","Ban Mian Soup (Fish and Egg)","130 kcal","380 kcal","Soup base means no vinegar or lard dressing. Hand-pulled noodles have no alkaline and egg adds protein without the need for deep-frying.","20","48","9","2","Protein: 20g, Carbohydrates: 48g, Fat: 9g, Fibre: 2g","Good for lunch. Hearty and warming. Add extra vegetables for more fibre and nutrients.","No","Grandma Ban Mee","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111","L32 Handmade Noodles","1 Geylang Lorong 32, Singapore 398261"
"Wanton Mee (Dry with Char Siew)","Wanton Noodle Soup (Lean)","80 kcal","350 kcal","Soup version eliminates lard and oil dressing. Lean char siew has less saturated fat while still delivering the classic wanton flavour.","18","42","8","1.5","Protein: 18g, Carbohydrates: 42g, Fat: 8g, Fibre: 1.5g","Good for lunch. Lighter than the dry version. Request less oil when ordering for best results.","No","Kok Kee Wanton Mee","Lavender Food Square, 380 Jalan Besar, Singapore 209000","Eng's Wantan Noodle","287 Tanjong Katong Road, Singapore 437070"
"Duck Rice (Braised)","Soya Sauce Chicken with Brown Rice (no skin)","180 kcal","400 kcal","Removing the skin cuts saturated fat significantly. Braised soy sauce chicken is leaner than duck and brown rice adds dietary fibre for better digestion.","28","50","10","3","Protein: 28g, Carbohydrates: 50g, Fat: 10g, Fibre: 3g","Best for lunch. Remove the skin to save an extra 80 kcal. Brown rice keeps you full for longer.","No","Sin Kee Famous Chicken Rice","Margaret Drive Hawker Centre, 38 Margaret Drive, Singapore 141038","Liao Fan Soya Sauce Chicken","Chinatown Complex, 335 Smith Street, Singapore 050335"
"Economy Rice (typical 2 meat 1 veg)","Economy Rice (1 steamed meat + 2 veg + less rice)","280 kcal","420 kcal","Asking for less rice saves about 150 kcal. Choosing steamed or braised protein over fried and doubling up on leafy greens makes this a balanced, nutritious meal.","25","45","12","4","Protein: 25g, Carbohydrates: 45g, Fat: 12g, Fibre: 4g","Great for lunch. Ask for less rice and more greens. Avoid fried meat options entirely.","No","Heng Hwa Economy Rice","Bukit Merah View Food Centre, 115 Bukit Merah View, Singapore 151115","Tian Tian Lai Mixed Vegetable Rice","Beo Crescent Market, 38A Beo Crescent, Singapore 160038"
"Lor Mee (Braised Noodles)","Ipoh Hor Fun (Soup)","200 kcal","380 kcal","Clear broth instead of thick starchy gravy means much lower sodium. Flat rice noodles are lighter and easier to digest than the heavy braised version.","18","48","8","1","Protein: 18g, Carbohydrates: 48g, Fat: 8g, Fibre: 1g","Good for lunch. Lighter on the stomach. Pair with lean meat toppings for added protein.","No","Li Xin Teochew Fishball Noodle","Chinatown Complex, 335 Smith Street, Singapore 050335","Amoy St Hor Fun","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111"
"Prawn Mee (Fried)","Prawn Mee Soup (clear broth)","200 kcal","380 kcal","Soup version involves no frying at all. The rich prawn broth keeps all the flavour with much less oil and sodium content.","24","40","8","1.5","Protein: 24g, Carbohydrates: 40g, Fat: 8g, Fibre: 1.5g","Best for lunch. The soup version is hydrating and provides a good source of lean protein from prawns.","No","545 Whampoa Prawn Noodles","556 Balestier Road, Singapore 329872","Beach Road Prawn Mee","370 East Coast Road, Singapore 428981"
"Murtabak (Mutton)","Chicken Shawarma Wrap (homemade)","294 kcal","380 kcal","Grilled chicken replaces fried dough. A whole wheat wrap adds fibre and yoghurt sauce provides probiotics instead of excess oil.","32","35","10","4","Protein: 32g, Carbohydrates: 35g, Fat: 10g, Fibre: 4g","Great for lunch or dinner. Filling and high in protein, making it a good post-workout option.","Yes","Zam Zam Restaurant","697-699 North Bridge Road, Singapore 198675","Victory Restaurant","701 North Bridge Road, Singapore 198677"
"Claypot Rice","Steamed Brown Rice with Braised Chicken and Vegetables","230 kcal","400 kcal","No charred lard crust means significantly less saturated fat. Brown rice adds fibre and braised chicken is much leaner than lap cheong sausage.","26","50","10","4","Protein: 26g, Carbohydrates: 50g, Fat: 10g, Fibre: 4g","Best for lunch. Brown rice gives sustained energy throughout the afternoon. Add extra greens if possible.","No","New Lucky Claypot Rice","Chinatown Complex, 335 Smith Street, Singapore 050335","Lian He Ben Ji Claypot Rice","Chinatown Complex, 335 Smith Street, Singapore 050335"
"Satay (10 sticks with peanut sauce)","Chicken Satay (5 sticks) with Cucumber Salad","350 kcal","350 kcal","Half portion is still satisfying. Cucumber salad adds freshness and hydration. Less peanut sauce significantly cuts sugar and fat intake.","28","15","18","2","Protein: 28g, Carbohydrates: 15g, Fat: 18g, Fibre: 2g","Best as a shared appetiser or light dinner. Avoid eating with rice to keep carbs low.","Yes","Lau Pa Sat Satay Street","18 Raffles Quay, Singapore 048582","Haron Satay","East Coast Lagoon Food Village, 1220 East Coast Parkway, Singapore 468960"
