original_dish,calories_original,healthier_alternative,calories_alternative,calories_saved,protein,fat,fibre,why_better,halal_status,stall_1_name,stall_1_location,stall_1_halal,stall_2_name,stall_2_location,stall_2_halal,recipe_name,prep_time,ingredients,steps
"Roasted Chicken Rice","607","Steamed Chicken Breast on Brown Rice","390","217","38g","6g","4g","Steaming removes all oil; skinless breast saves ~120 kcal; brown rice adds 3.5g fibre","Halal","Tian Tian Hainanese Chicken Rice (ask for steamed)","Maxwell Food Centre, #01-10, 1 Kadayanallur St","Not Halal","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, #01-07","Not Halal","Healthier Hainanese Chicken Rice","15 min","2 boneless skinless chicken breasts (300g); 1 cup brown rice; 3 slices ginger; 2 stalks spring onion; 2 pandan leaves; 1 tbsp sesame oil; 2 cloves garlic; 500ml low-sodium chicken stock; cucumber slices; coriander","Poach chicken in stock with ginger/pandan 20 min; toast brown rice with garlic then cook in broth; slice chicken and serve over rice with cucumber; make ginger-scallion sauce"
"Char Kway Teow","740","Kway Teow Soup with Fish Slices & Veg","320","420","28g","6g","2g","Soup-based eliminates lard and dark sauces; fish provides omega-3; almost 60% fewer calories","Not Halal","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, #01-81","Not Halal","Blanco Court Fish Soup","Blk 243 Simei St 5, Hawker Centre","Not Halal","Kway Teow Fish Soup","10 min","200g flat rice noodles; 250g fresh batang fillet sliced; 1L water/fish stock; 1 tomato; 1 cup kangkong; 2 slices ginger; 1 tbsp fried shallots; white pepper; 1 tsp light soy; 1 tbsp evaporated milk (optional)","Boil water with ginger and tomato 5 min; add noodles 2 min; slide in fish slices 2-3 min; add kangkong last 30 sec; season with soy and white pepper; garnish with fried shallots"
"Nasi Lemak with Fried Chicken Wing","640","Thunder Tea Rice (Lei Cha Fan)","280","360","12g","8g","7g","Plant-based meal with 6+ vegetables; brown rice base; tea paste full of antioxidants","Halal","Hakka Leipopo Lei Cha","Lau Pa Sat, 18 Raffles Quay, #01-K4","Not Halal","Thunder Tea Rice stall","Anchorvale Village Hawker Centre, Sengkang","Not Halal","Thunder Tea Rice (Lei Cha Fan)","20 min","1.5 cups cooked brown rice; 1 cup kangkong; 1 cup chye sim; 1/2 cup long beans; 1/4 cup dried shrimp; 2 tbsp peanuts; 1 block firm tofu; tea paste (50g green tea leaves 20g basil 10g mint 2 tbsp sesame seeds); 500ml hot water","Pound tea paste with mortar; blanch vegetables 1 min; stir-fry long beans 2 min; dry-fry tofu until golden; assemble rice with toppings; pour warm tea broth over"
"Curry Laksa","680","Sliced Fish Soup with Bee Hoon","290","390","30g","5g","2g","Clear broth instead of coconut milk cuts 30g fat; fish provides omega-3; bee hoon is lighter","Halal","First Street Teochew Fish Soup","Bukit Merah Central Food Centre, #01-81","Not Halal","T.G. Fish Porridge & Soup","Amoy Street Food Centre, #02-100","Not Halal","Teochew-style Sliced Fish Soup","10 min","200g fresh batang/garoupa fillet sliced thin; 100g bee hoon; 1L water; 2 slices ginger; 1 tomato wedges; 1 cup napa cabbage; 2 stalks Chinese celery; 1 tsp sesame oil; white pepper; fried garlic","Soak bee hoon 5 min; boil water with ginger and tomato; add cabbage 2 min; slide in fish 2 min; season with sesame oil and pepper; serve over bee hoon with celery and garlic"
"Roti Prata (2 pieces) with Curry","520","Chapati with Dhal & Vegetables","260","260","14g","6g","8g","Chapati uses no lard/ghee; dhal adds plant protein and fibre; 3x more vitamins","Halal","Springleaf Prata Place (chapati option)","1 Thong Soon Ave","Halal","Mr & Mrs Mohgan's Super Crispy Prata","Thasevi Food, 237 Jalan Kayu","Halal","Wholemeal Chapati with Lentil Dhal","15 min","1 cup wholemeal atta flour; 1/2 cup warm water; pinch salt; 1/2 cup red lentils; 2 cups water; 1 tomato; 1/2 onion; 1 tsp cumin seeds; 1/2 tsp turmeric; 1 clove garlic; coriander; 1 tsp olive oil","Knead chapati dough rest 10 min; boil lentils with turmeric 12 min; temper cumin in oil add onion garlic tomato; mix into lentils; roll and dry-roast chapati; serve together"
"Yong Tau Foo (Fried with Laksa gravy)","550","Yong Tau Foo (Soup with fresh picks)","300","250","22g","8g","5g","Clear soup cuts 200+ kcal vs laksa gravy; fresh ingredients over processed; tofu adds plant protein","Halal","Gem Fresh Yong Tau Foo","Bugis Cube, #01-K1, 470 North Bridge Rd","Not Halal","Orchard Yong Tau Foo","Far East Plaza, 14 Scotts Rd, #05-121","Not Halal","Healthy Yong Tau Foo (Soup Base)","10 min","6 pieces fresh veg (bitter gourd ladies finger eggplant chilli); 100g firm tofu; 2 pieces tau kee; 1 bunch kangkong; 100g wholegrain bee hoon; 1L ikan bilis stock; fish paste (100g minced fish 1 tsp cornflour pepper); soy sauce and chilli","Stuff fish paste into vegetables; boil ikan bilis stock; add stuffed veg and tofu 5 min; add greens last minute; cook bee hoon separately; serve with light soy and chilli"
"Indian Mee Goreng","660","Mee Soto (Chicken Noodle Soup)","350","310","24g","10g","2g","Soup-based with light turmeric broth; shredded chicken is lean; ask for bee hoon to cut more calories","Halal","Inspirasi stall (Mee Soto Ayam)","Adam Road Food Centre, #01-31","Halal","Haji M. Abdul Rajak","Haig Road Market & Food Centre, #01-14","Halal","Mee Soto Ayam (Turmeric Chicken Soup)","10 min","200g skinless chicken thigh (bone-in); 100g bee hoon; 1L water; 1 stalk lemongrass; 1/2 tsp turmeric; 2 shallots; 1 clove garlic; bean sprouts; fried shallots; Chinese celery; lime; 1 tsp canola oil","Saute shallots and garlic in canola oil; add water lemongrass turmeric boil; simmer chicken 20 min then shred; cook bee hoon in broth 2 min; assemble with bean sprouts; garnish with fried shallots celery lime"
"Hokkien Mee","522","Prawn Soup Bee Hoon","280","242","22g","6g","1g","Clear prawn broth replaces heavy lard-fried noodles; fresh prawns provide lean protein; much lower sodium","Not Halal","Beach Road Prawn Mee (soup option)","370 East Coast Road, Singapore","Not Halal","Blk 84 Marine Parade Prawn Mee","Blk 84 Marine Parade Central, #01-197","Not Halal","Prawn Soup Bee Hoon","10 min","200g fresh prawns (shell-on for stock); 100g bee hoon; 1L water; 2 cloves garlic; 1 tbsp dried shrimp; kangkong; bean sprouts; white pepper; 1 tsp canola oil","Fry prawn shells and dried shrimp in oil until fragrant; add water and simmer 10 min to make stock; strain broth; cook bee hoon 2 min; poach fresh prawns in broth 3 min; serve with kangkong and bean sprouts"
"Bak Chor Mee (Dry)","510","Ban Mian Soup (Fish/Egg)","380","130","22g","10g","3g","Soup base means less vinegar/lard dressing; hand-pulled noodles have no alkaline; egg adds protein without deep-frying","Not Halal","Grandma Ban Mee","Amoy Street Food Centre, #01-07","Not Halal","L32 Handmade Noodles","Blk 1 Geylang Lorong 32, Singapore","Not Halal","Ban Mian Soup with Egg","10 min","200g ban mian noodles (fresh); 1L ikan bilis stock; 1 egg per bowl; 100g minced pork (lean); 1 cup sayur manis (sweet leaf); 2 slices ginger; light soy sauce; fried ikan bilis topping","Boil ikan bilis stock with ginger; add ban mian noodles cook 3-4 min; push aside and crack egg in broth to poach; add sayur manis leaves last minute; season with light soy; top with fried ikan bilis"
"Wanton Mee (Dry with Char Siew)","430","Wanton Noodle Soup (Lean)","350","80","25g","8g","2g","Soup version has no lard/oil dressing; lean char siew has less saturated fat; still gets the wanton flavour","Not Halal","Kok Kee Wanton Mee","Lavender Food Square, 380 Jalan Besar","Not Halal","Eng's Wantan Noodle","287 Tanjong Katong Road","Not Halal","Wanton Noodle Soup (Healthier)","15 min","200g wanton noodles; 8 wanton skins; 100g lean pork mince; 1 tsp sesame oil; 1L chicken stock; chye sim; light soy; white pepper; dash of oyster sauce","Mix lean pork with sesame oil and pepper to make wanton filling; wrap in wanton skins; boil chicken stock; cook noodles 1 min; poach wantons 3 min; add chye sim; season broth with light soy and oyster sauce"
